id,name,title,company,seniority_tier,industry_vertical,icp_score,source,linkedin_url,email,company_size,funding_stage,persona_summary,context_hook,personalization_themes,confidence_flag,assigned_to,outreach_status,in_sequence
159,Ananya Sharma,Co-founder & CTO,CreditSense,C-Suite,Fintech,5,mock_realistic,,,,,,,,,,pending,FALSE
160,Vikram Sinha,MD & CEO,LoanTap,C-Suite,Other,3,mock_realistic,,,,,,,,,,pending,FALSE
161,Ritika Gupta,Founder & CEO,Finova Capital,C-Suite,Other,3,mock_realistic,,,,,,,,,,pending,FALSE
162,Aditya Bansal,Chief Revenue Officer,RazorX,C-Suite,Other,3,mock_realistic,,,,,,,,,,pending,FALSE
163,Sneha Reddy,Co-founder,NeoBank One,C-Suite,Other,3,mock_realistic,,,,,,,,,,pending,FALSE
164,Nikhil Anand,VP of Sales,SaaSify,VP/Director,Other,2,mock_realistic,,,,,,,,,,pending,FALSE
165,Meghna Patel,Head of Growth,Chargebee,VP/Director,SaaS/B2B,4,mock_realistic,,,,,,,,,,pending,FALSE
166,Rohit Verma,Founder & CEO,Stackr.io,C-Suite,Other,3,mock_realistic,,,,,,,,,,pending,FALSE
167,Ishaan Chopra,CTO,Quickwork,C-Suite,Other,3,mock_realistic,,,,,,,,,,pending,FALSE
168,Pooja Kapoor,VP Engineering,Zomentum,VP/Director,Other,2,mock_realistic,,,,,,,,,,pending,FALSE
169,Alok Jain,Co-founder,Clientjoy,C-Suite,Other,3,mock_realistic,,,,,,,,,,pending,FALSE
170,Kavya Rao,CEO,Sprinto,C-Suite,Other,3,mock_realistic,,,,,,,,,,pending,FALSE
171,Rahul Suri,Director of Product,Rocketlane,C-Suite,Other,3,mock_realistic,,,,,,,,,,pending,FALSE
172,Nandita Iyer,Chief Marketing Officer,Leadsquared,C-Suite,Other,3,mock_realistic,,,,,,,,,,pending,FALSE
173,Sandeep Kumar,Founder,DemandBase India,C-Suite,Other,3,mock_realistic,,,,,,,,,,pending,FALSE
174,Tanvi Shah,Founder & CEO,Plum Goodness,C-Suite,Other,3,mock_realistic,,,,,,,,,,pending,FALSE
175,Ayush Tiwari,Co-founder,Bey Bee,C-Suite,Other,3,mock_realistic,,,,,,,,,,pending,FALSE
176,Shruti Bose,CEO,Snitch Fashion,C-Suite,Other,3,mock_realistic,,,,,,,,,,pending,FALSE
